class,size,index,filename,relpath
C1,1000,3,C1_10_3.TXT,C1\C1_10_3.TXT
C1,1000,4,C1_10_4.TXT,C1\C1_10_4.TXT
C1,1000,5,C1_10_5.TXT,C1\C1_10_5.TXT
C1,1000,6,C1_10_6.TXT,C1\C1_10_6.TXT
C1,1000,7,C1_10_7.TXT,C1\C1_10_7.TXT
C1,1000,8,C1_10_8.TXT,C1\C1_10_8.TXT
C1,1000,9,C1_10_9.TXT,C1\C1_10_9.TXT
C1,1000,10,C1_10_10.TXT,C1\C1_10_10.TXT
C2,200,1,C2_2_1.TXT,C2\C2_2_1.TXT
C2,200,2,C2_2_2.TXT,C2\C2_2_2.TXT
C2,200,3,C2_2_3.TXT,C2\C2_2_3.TXT
C2,200,4,C2_2_4.TXT,C2\C2_2_4.TXT
C2,200,5,C2_2_5.TXT,C2\C2_2_5.TXT
C2,200,6,C2_2_6.TXT,C2\C2_2_6.TXT
C2,200,7,C2_2_7.TXT,C2\C2_2_7.TXT
C2,200,8,C2_2_8.TXT,C2\C2_2_8.TXT
C2,200,9,C2_2_9.TXT,C2\C2_2_9.TXT
C2,200,10,C2_2_10.TXT,C2\C2_2_10.TXT
C2,400,1,C2_4_1.TXT,C2\C2_4_1.TXT
C2,400,2,C2_4_2.TXT,C2\C2_4_2.TXT
C2,400,3,C2_4_3.TXT,C2\C2_4_3.TXT
C2,400,4,C2_4_4.TXT,C2\C2_4_4.TXT
C2,400,5,C2_4_5.TXT,C2\C2_4_5.TXT
C2,400,6,C2_4_6.TXT,C2\C2_4_6.TXT
C2,400,7,C2_4_7.TXT,C2\C2_4_7.TXT
C2,400,8,C2_4_8.TXT,C2\C2_4_8.TXT
C2,400,9,C2_4_9.TXT,C2\C2_4_9.TXT
C2,400,10,C2_4_10.TXT,C2\C2_4_10.TXT
C2,600,1,C2_6_1.TXT,C2\C2_6_1.TXT
C2,600,2,C2_6_2.TXT,C2\C2_6_2.TXT
C2,600,3,C2_6_3.TXT,C2\C2_6_3.TXT
C2,600,4,C2_6_4.TXT,C2\C2_6_4.TXT
C2,600,5,C2_6_5.TXT,C2\C2_6_5.TXT
C2,600,6,C2_6_6.TXT,C2\C2_6_6.TXT
C2,600,7,C2_6_7.TXT,C2\C2_6_7.TXT
C2,600,8,C2_6_8.TXT,C2\C2_6_8.TXT
C2,600,9,C2_6_9.TXT,C2\C2_6_9.TXT
C2,600,10,C2_6_10.TXT,C2\C2_6_10.TXT
C2,800,1,C2_8_1.TXT,C2\C2_8_1.TXT
C2,800,2,C2_8_2.TXT,C2\C2_8_2.TXT
C2,800,3,C2_8_3.TXT,C2\C2_8_3.TXT
C2,800,4,C2_8_4.TXT,C2\C2_8_4.TXT
C2,800,5,C2_8_5.TXT,C2\C2_8_5.TXT
C2,800,6,C2_8_6.TXT,C2\C2_8_6.TXT
C2,800,7,C2_8_7.TXT,C2\C2_8_7.TXT
C2,800,8,C2_8_8.TXT,C2\C2_8_8.TXT
C2,800,9,C2_8_9.TXT,C2\C2_8_9.TXT
C2,800,10,C2_8_10.TXT,C2\C2_8_10.TXT
C2,1000,1,C2_10_1.TXT,C2\C2_10_1.TXT
C2,1000,2,C2_10_2.TXT,C2\C2_10_2.TXT
C2,1000,3,C2_10_3.TXT,C2\C2_10_3.TXT
C2,1000,4,C2_10_4.TXT,C2\C2_10_4.TXT
C2,1000,5,C2_10_5.TXT,C2\C2_10_5.TXT
C2,1000,6,C2_10_6.TXT,C2\C2_10_6.TXT
C2,1000,7,C2_10_7.TXT,C2\C2_10_7.TXT
C2,1000,8,C2_10_8.TXT,C2\C2_10_8.TXT
C2,1000,9,C2_10_9.TXT,C2\C2_10_9.TXT
C2,1000,10,C2_10_10.TXT,C2\C2_10_10.TXT
R1,200,1,R1_2_1.TXT,R1\R1_2_1.TXT
R1,200,2,R1_2_2.TXT,R1\R1_2_2.TXT
R1,200,3,R1_2_3.TXT,R1\R1_2_3.TXT
R1,200,4,R1_2_4.TXT,R1\R1_2_4.TXT
R1,200,5,R1_2_5.TXT,R1\R1_2_5.TXT
R1,200,6,R1_2_6.TXT,R1\R1_2_6.TXT
R1,200,7,R1_2_7.TXT,R1\R1_2_7.TXT
R1,200,8,R1_2_8.TXT,R1\R1_2_8.TXT
R1,200,9,R1_2_9.TXT,R1\R1_2_9.TXT
R1,200,10,R1_2_10.TXT,R1\R1_2_10.TXT
R1,400,1,R1_4_1.TXT,R1\R1_4_1.TXT
R1,400,2,R1_4_2.TXT,R1\R1_4_2.TXT
R1,400,3,R1_4_3.TXT,R1\R1_4_3.TXT
R1,400,4,R1_4_4.TXT,R1\R1_4_4.TXT
R1,400,5,R1_4_5.TXT,R1\R1_4_5.TXT
R1,400,6,R1_4_6.TXT,R1\R1_4_6.TXT
R1,400,7,R1_4_7.TXT,R1\R1_4_7.TXT
R1,400,8,R1_4_8.TXT,R1\R1_4_8.TXT
R1,400,9,R1_4_9.TXT,R1\R1_4_9.TXT
R1,400,10,R1_4_10.TXT,R1\R1_4_10.TXT
R1,600,1,R1_6_1.TXT,R1\R1_6_1.TXT
R1,600,2,R1_6_2.TXT,R1\R1_6_2.TXT
R1,600,3,R1_6_3.TXT,R1\R1_6_3.TXT
R1,600,4,R1_6_4.TXT,R1\R1_6_4.TXT
R1,600,5,R1_6_5.TXT,R1\R1_6_5.TXT
R1,600,6,R1_6_6.TXT,R1\R1_6_6.TXT
R1,600,7,R1_6_7.TXT,R1\R1_6_7.TXT
R1,600,8,R1_6_8.TXT,R1\R1_6_8.TXT
R1,600,9,R1_6_9.TXT,R1\R1_6_9.TXT
R1,600,10,R1_6_10.TXT,R1\R1_6_10.TXT
R1,800,1,R1_8_1.TXT,R1\R1_8_1.TXT
R1,800,2,R1_8_2.TXT,R1\R1_8_2.TXT
R1,800,3,R1_8_3.TXT,R1\R1_8_3.TXT
R1,800,4,R1_8_4.TXT,R1\R1_8_4.TXT
R1,800,5,R1_8_5.TXT,R1\R1_8_5.TXT
R1,800,6,R1_8_6.TXT,R1\R1_8_6.TXT
R1,800,7,R1_8_7.TXT,R1\R1_8_7.TXT
R1,800,8,R1_8_8.TXT,R1\R1_8_8.TXT
R1,800,9,R1_8_9.TXT,R1\R1_8_9.TXT
R1,800,10,R1_8_10.TXT,R1\R1_8_10.TXT
R1,1000,1,R1_10_1.TXT,R1\R1_10_1.TXT
R1,1000,2,R1_10_2.TXT,R1\R1_10_2.TXT
R1,1000,3,R1_10_3.TXT,R1\R1_10_3.TXT
R1,1000,4,R1_10_4.TXT,R1\R1_10_4.TXT
R1,1000,5,R1_10_5.TXT,R1\R1_10_5.TXT
R1,1000,6,R1_10_6.TXT,R1\R1_10_6.TXT
R1,1000,7,R1_10_7.TXT,R1\R1_10_7.TXT
R1,1000,8,R1_10_8.TXT,R1\R1_10_8.TXT
R1,1000,9,R1_10_9.TXT,R1\R1_10_9.TXT
R1,1000,10,R1_10_10.TXT,R1\R1_10_10.TXT
R2,200,1,R2_2_1.TXT,R2\R2_2_1.TXT
R2,200,2,R2_2_2.TXT,R2\R2_2_2.TXT
R2,200,3,R2_2_3.TXT,R2\R2_2_3.TXT
R2,200,4,R2_2_4.TXT,R2\R2_2_4.TXT
R2,200,5,R2_2_5.TXT,R2\R2_2_5.TXT
R2,200,6,R2_2_6.TXT,R2\R2_2_6.TXT
R2,200,7,R2_2_7.TXT,R2\R2_2_7.TXT
R2,200,8,R2_2_8.TXT,R2\R2_2_8.TXT
R2,200,9,R2_2_9.TXT,R2\R2_2_9.TXT
R2,200,10,R2_2_10.TXT,R2\R2_2_10.TXT
R2,400,1,R2_4_1.TXT,R2\R2_4_1.TXT
R2,400,2,R2_4_2.TXT,R2\R2_4_2.TXT
R2,400,3,R2_4_3.TXT,R2\R2_4_3.TXT
R2,400,4,R2_4_4.TXT,R2\R2_4_4.TXT
R2,400,5,R2_4_5.TXT,R2\R2_4_5.TXT
R2,400,6,R2_4_6.TXT,R2\R2_4_6.TXT
R2,400,7,R2_4_7.TXT,R2\R2_4_7.TXT
R2,400,8,R2_4_8.TXT,R2\R2_4_8.TXT
R2,400,9,R2_4_9.TXT,R2\R2_4_9.TXT
R2,400,10,R2_4_10.TXT,R2\R2_4_10.TXT
R2,600,1,R2_6_1.TXT,R2\R2_6_1.TXT
R2,600,2,R2_6_2.TXT,R2\R2_6_2.TXT
R2,600,3,R2_6_3.TXT,R2\R2_6_3.TXT
R2,600,4,R2_6_4.TXT,R2\R2_6_4.TXT
R2,600,5,R2_6_5.TXT,R2\R2_6_5.TXT
R2,600,6,R2_6_6.TXT,R2\R2_6_6.TXT
R2,600,7,R2_6_7.TXT,R2\R2_6_7.TXT
R2,600,8,R2_6_8.TXT,R2\R2_6_8.TXT
R2,600,9,R2_6_9.TXT,R2\R2_6_9.TXT
R2,600,10,R2_6_10.TXT,R2\R2_6_10.TXT
R2,800,1,R2_8_1.TXT,R2\R2_8_1.TXT
R2,800,2,R2_8_2.TXT,R2\R2_8_2.TXT
R2,800,3,R2_8_3.TXT,R2\R2_8_3.TXT
R2,800,4,R2_8_4.TXT,R2\R2_8_4.TXT
R2,800,5,R2_8_5.TXT,R2\R2_8_5.TXT
R2,800,6,R2_8_6.TXT,R2\R2_8_6.TXT
R2,800,7,R2_8_7.TXT,R2\R2_8_7.TXT
R2,800,8,R2_8_8.TXT,R2\R2_8_8.TXT
R2,800,9,R2_8_9.TXT,R2\R2_8_9.TXT
R2,800,10,R2_8_10.TXT,R2\R2_8_10.TXT
R2,1000,1,R2_10_1.TXT,R2\R2_10_1.TXT
R2,1000,2,R2_10_2.TXT,R2\R2_10_2.TXT
R2,1000,3,R2_10_3.TXT,R2\R2_10_3.TXT
R2,1000,4,R2_10_4.TXT,R2\R2_10_4.TXT
R2,1000,5,R2_10_5.TXT,R2\R2_10_5.TXT
R2,1000,6,R2_10_6.TXT,R2\R2_10_6.TXT
R2,1000,7,R2_10_7.TXT,R2\R2_10_7.TXT
R2,1000,8,R2_10_8.TXT,R2\R2_10_8.TXT
R2,1000,9,R2_10_9.TXT,R2\R2_10_9.TXT
R2,1000,10,R2_10_10.TXT,R2\R2_10_10.TXT
RC1,200,1,RC1_2_1.TXT,RC1\RC1_2_1.TXT
RC1,200,2,RC1_2_2.TXT,RC1\RC1_2_2.TXT
RC1,200,3,RC1_2_3.TXT,RC1\RC1_2_3.TXT
RC1,200,4,RC1_2_4.TXT,RC1\RC1_2_4.TXT
RC1,200,5,RC1_2_5.TXT,RC1\RC1_2_5.TXT
RC1,200,6,RC1_2_6.TXT,RC1\RC1_2_6.TXT
RC1,200,7,RC1_2_7.TXT,RC1\RC1_2_7.TXT
RC1,200,8,RC1_2_8.TXT,RC1\RC1_2_8.TXT
RC1,200,9,RC1_2_9.TXT,RC1\RC1_2_9.TXT
RC1,200,10,RC1_2_10.TXT,RC1\RC1_2_10.TXT
RC1,400,1,RC1_4_1.TXT,RC1\RC1_4_1.TXT
RC1,400,2,RC1_4_2.TXT,RC1\RC1_4_2.TXT
RC1,400,3,RC1_4_3.TXT,RC1\RC1_4_3.TXT
RC1,400,4,RC1_4_4.TXT,RC1\RC1_4_4.TXT
RC1,400,5,RC1_4_5.TXT,RC1\RC1_4_5.TXT
RC1,400,6,RC1_4_6.TXT,RC1\RC1_4_6.TXT
RC1,400,7,RC1_4_7.TXT,RC1\RC1_4_7.TXT
RC1,400,8,RC1_4_8.TXT,RC1\RC1_4_8.TXT
RC1,400,9,RC1_4_9.TXT,RC1\RC1_4_9.TXT
RC1,400,10,RC1_4_10.TXT,RC1\RC1_4_10.TXT
RC1,600,1,RC1_6_1.TXT,RC1\RC1_6_1.TXT
RC1,600,2,RC1_6_2.TXT,RC1\RC1_6_2.TXT
RC1,600,3,RC1_6_3.TXT,RC1\RC1_6_3.TXT
RC1,600,4,RC1_6_4.TXT,RC1\RC1_6_4.TXT
RC1,600,5,RC1_6_5.TXT,RC1\RC1_6_5.TXT
RC1,600,6,RC1_6_6.TXT,RC1\RC1_6_6.TXT
RC1,600,7,RC1_6_7.TXT,RC1\RC1_6_7.TXT
RC1,600,8,RC1_6_8.TXT,RC1\RC1_6_8.TXT
RC1,600,9,RC1_6_9.TXT,RC1\RC1_6_9.TXT
RC1,600,10,RC1_6_10.TXT,RC1\RC1_6_10.TXT
RC1,800,1,RC1_8_1.TXT,RC1\RC1_8_1.TXT
RC1,800,2,RC1_8_2.TXT,RC1\RC1_8_2.TXT
RC1,800,3,RC1_8_3.TXT,RC1\RC1_8_3.TXT
RC1,800,4,RC1_8_4.TXT,RC1\RC1_8_4.TXT
RC1,800,5,RC1_8_5.TXT,RC1\RC1_8_5.TXT
RC1,800,6,RC1_8_6.TXT,RC1\RC1_8_6.TXT
RC1,800,7,RC1_8_7.TXT,RC1\RC1_8_7.TXT
RC1,800,8,RC1_8_8.TXT,RC1\RC1_8_8.TXT
RC1,800,9,RC1_8_9.TXT,RC1\RC1_8_9.TXT
RC1,800,10,RC1_8_10.TXT,RC1\RC1_8_10.TXT
RC1,1000,1,RC1_10_1.TXT,RC1\RC1_10_1.TXT
RC1,1000,2,RC1_10_2.TXT,RC1\RC1_10_2.TXT
RC1,1000,3,RC1_10_3.TXT,RC1\RC1_10_3.TXT
RC1,1000,4,RC1_10_4.TXT,RC1\RC1_10_4.TXT
RC1,1000,5,RC1_10_5.TXT,RC1\RC1_10_5.TXT
RC1,1000,6,RC1_10_6.TXT,RC1\RC1_10_6.TXT
RC1,1000,7,RC1_10_7.TXT,RC1\RC1_10_7.TXT
RC1,1000,8,RC1_10_8.TXT,RC1\RC1_10_8.TXT
RC1,1000,9,RC1_10_9.TXT,RC1\RC1_10_9.TXT
RC1,1000,10,RC1_10_10.TXT,RC1\RC1_10_10.TXT
RC2,200,1,RC2_2_1.TXT,RC2\RC2_2_1.TXT
RC2,200,2,RC2_2_2.TXT,RC2\RC2_2_2.TXT
RC2,200,3,RC2_2_3.TXT,RC2\RC2_2_3.TXT
RC2,200,4,RC2_2_4.TXT,RC2\RC2_2_4.TXT
RC2,200,5,RC2_2_5.TXT,RC2\RC2_2_5.TXT
RC2,200,6,RC2_2_6.TXT,RC2\RC2_2_6.TXT
RC2,200,7,RC2_2_7.TXT,RC2\RC2_2_7.TXT
RC2,200,8,RC2_2_8.TXT,RC2\RC2_2_8.TXT
RC2,200,9,RC2_2_9.TXT,RC2\RC2_2_9.TXT
RC2,200,10,RC2_2_10.TXT,RC2\RC2_2_10.TXT
RC2,400,1,RC2_4_1.TXT,RC2\RC2_4_1.TXT
RC2,400,2,RC2_4_2.TXT,RC2\RC2_4_2.TXT
RC2,400,3,RC2_4_3.TXT,RC2\RC2_4_3.TXT
RC2,400,4,RC2_4_4.TXT,RC2\RC2_4_4.TXT
RC2,400,5,RC2_4_5.TXT,RC2\RC2_4_5.TXT
RC2,400,6,RC2_4_6.TXT,RC2\RC2_4_6.TXT
RC2,400,7,RC2_4_7.TXT,RC2\RC2_4_7.TXT
RC2,400,8,RC2_4_8.TXT,RC2\RC2_4_8.TXT
RC2,400,9,RC2_4_9.TXT,RC2\RC2_4_9.TXT
RC2,400,10,RC2_4_10.TXT,RC2\RC2_4_10.TXT
RC2,600,1,RC2_6_1.TXT,RC2\RC2_6_1.TXT
RC2,600,2,RC2_6_2.TXT,RC2\RC2_6_2.TXT
RC2,600,3,RC2_6_3.TXT,RC2\RC2_6_3.TXT
RC2,600,4,RC2_6_4.TXT,RC2\RC2_6_4.TXT
RC2,600,5,RC2_6_5.TXT,RC2\RC2_6_5.TXT
RC2,600,6,RC2_6_6.TXT,RC2\RC2_6_6.TXT
RC2,600,7,RC2_6_7.TXT,RC2\RC2_6_7.TXT
RC2,600,8,RC2_6_8.TXT,RC2\RC2_6_8.TXT
RC2,600,9,RC2_6_9.TXT,RC2\RC2_6_9.TXT
RC2,600,10,RC2_6_10.TXT,RC2\RC2_6_10.TXT
RC2,800,1,RC2_8_1.TXT,RC2\RC2_8_1.TXT
RC2,800,2,RC2_8_2.TXT,RC2\RC2_8_2.TXT
RC2,800,3,RC2_8_3.TXT,RC2\RC2_8_3.TXT
RC2,800,4,RC2_8_4.TXT,RC2\RC2_8_4.TXT
RC2,800,5,RC2_8_5.TXT,RC2\RC2_8_5.TXT
RC2,800,6,RC2_8_6.TXT,RC2\RC2_8_6.TXT
RC2,800,7,RC2_8_7.TXT,RC2\RC2_8_7.TXT
RC2,800,8,RC2_8_8.TXT,RC2\RC2_8_8.TXT
RC2,800,9,RC2_8_9.TXT,RC2\RC2_8_9.TXT
RC2,800,10,RC2_8_10.TXT,RC2\RC2_8_10.TXT
RC2,1000,1,RC2_10_1.TXT,RC2\RC2_10_1.TXT
RC2,1000,2,RC2_10_2.TXT,RC2\RC2_10_2.TXT
RC2,1000,3,RC2_10_3.TXT,RC2\RC2_10_3.TXT
RC2,1000,4,RC2_10_4.TXT,RC2\RC2_10_4.TXT
RC2,1000,5,RC2_10_5.TXT,RC2\RC2_10_5.TXT
RC2,1000,6,RC2_10_6.TXT,RC2\RC2_10_6.TXT
RC2,1000,7,RC2_10_7.TXT,RC2\RC2_10_7.TXT
RC2,1000,8,RC2_10_8.TXT,RC2\RC2_10_8.TXT
RC2,1000,9,RC2_10_9.TXT,RC2\RC2_10_9.TXT
RC2,1000,10,RC2_10_10.TXT,RC2\RC2_10_10.TXT
